Todos os Resultados da Mega Sena na ordem do sorteio | Rede Loteria,,,,,,,,,,
Conc.,Data,,,,,,,Gan.,Prêmio,Apostas
2469,06/04/2022,05,55,38,30,28,52,0,,"7,978,761"
2468,02/04/2022,22,41,53,42,35,57,1,"122,627,171.80","35,152,214"
2467,30/03/2022,01,10,45,19,35,34,0,,"29,453,343"
2466,26/03/2022,54,53,20,02,13,03,0,,"25,495,188"
2465,23/03/2022,29,54,53,08,03,23,0,,"21,289,839"
2464,19/03/2022,02,43,07,52,24,56,2,"94,690,936.18","67,779,305"
2463,16/03/2022,11,31,16,42,51,37,0,,"55,470,277"
2462,12/03/2022,03,16,57,23,45,41,0,,"44,358,569"
2461,09/03/2022,37,32,21,11,16,08,0,,"36,761,415"
2460,05/03/2022,35,18,28,17,16,47,0,,"26,610,035"
2459,03/03/2022,33,49,15,59,24,53,0,,"17,756,710"
2458,26/02/2022,44,47,15,40,51,45,0,,"16,151,895"
2457,24/02/2022,50,49,19,47,10,46,0,,"12,370,705"
2456,22/02/2022,52,41,28,55,40,34,0,,"9,708,427"
2455,19/02/2022,59,53,38,21,50,56,0,,"12,987,571"
2454,16/02/2022,14,44,22,09,24,47,0,,"8,749,729"
2453,12/02/2022,44,24,10,34,14,15,0,,"8,630,475"
2452,09/02/2022,56,57,08,10,51,58,0,,"6,424,466"
2451,05/02/2022,13,51,26,60,31,46,1,"26,422,347.01","12,832,621"
2450,02/02/2022,17,39,11,06,15,02,0,,"9,715,148"
2449,29/01/2022,14,49,52,31,20,21,1,"36,777,767.10","12,694,277"
2448,27/01/2022,32,48,30,40,35,18,0,,"10,497,353"
2447,25/01/2022,52,13,19,42,49,29,0,,"7,797,392"
2446,22/01/2022,13,58,51,27,01,41,0,,"11,781,118"
2445,19/01/2022,25,32,47,11,37,56,0,,"9,311,085"
2444,15/01/2022,17,43,20,35,37,15,0,,"6,776,621"
2443,12/01/2022,31,01,12,13,05,17,2,"5,259,397.57","8,521,717"
2442,08/01/2022,49,09,07,02,41,25,0,,"7,682,577"
2441,05/01/2022,42,09,41,54,46,47,0,,"5,804,604"
2440,31/12/2021,46,32,15,12,23,33,2,"189,062,363.74","335,612,562"
2439,18/12/2021,47,38,02,34,51,08,0,,"7,106,637"
2438,15/12/2021,37,11,55,25,04,19,1,"6,549,381.39","7,472,017"
2437,11/12/2021,41,19,55,01,46,48,0,,"6,231,517"
2436,09/12/2021,38,54,32,15,05,28,1,"39,405,657.46","10,388,189"
2435,07/12/2021,32,30,36,33,22,05,0,,"8,317,508"
2434,04/12/2021,28,14,40,02,51,01,0,,"10,797,043"
2433,01/12/2021,08,53,09,57,32,52,0,,"8,558,015"
2432,27/11/2021,52,44,29,38,07,40,0,,"8,163,930"
2431,24/11/2021,11,36,26,25,08,22,0,,"6,311,040"
2430,20/11/2021,26,19,46,56,45,39,1,"39,690,444.50","13,760,930"
2429,17/11/2021,60,11,56,37,53,55,0,,"7,579,495"
2428,13/11/2021,25,03,28,29,09,39,0,,"7,662,743"
2427,10/11/2021,56,03,19,25,37,44,5,"18,181,413.39","29,927,032"
2426,06/11/2021,57,27,24,11,32,05,0,,"24,120,281"
2425,03/11/2021,46,38,31,10,54,49,0,,"16,687,543"
2424,30/10/2021,17,03,38,53,16,37,0,,"15,988,202"
2423,27/10/2021,51,18,48,60,38,16,0,,"12,760,329"
2422,23/10/2021,07,30,02,46,10,20,0,,"11,160,667"
2421,21/10/2021,32,48,35,57,02,03,0,,"8,923,492"
2420,19/10/2021,08,44,60,05,39,29,0,,"6,030,433"
2419,16/10/2021,10,53,43,48,35,50,1,"11,509,541.30","9,960,653"
2418,13/10/2021,19,57,27,11,60,02,0,,"6,513,374"
2417,09/10/2021,03,11,27,46,07,10,0,,"7,607,849"
2416,06/10/2021,06,37,57,26,11,07,1,"35,714,240.27","13,224,223"
2415,02/10/2021,29,12,60,26,35,10,0,,"10,620,261"
2414,30/09/2021,04,14,29,06,05,38,0,,"7,113,779"
